"2.5CI","Median","97.5CI"
"53",1457.20853249095,1578.20129419294,1706.19727293595
"54",1455.54697263904,1576.30269921617,1703.69061418399
"55",1453.70984679311,1574.48540663315,1701.14566051644
"56",1452.00137867888,1572.59301005262,1698.89691583996
"57",1450.25357236069,1570.66232260191,1696.61311450391
"58",1448.7276380127,1568.74006270673,1694.35722035131
"59",1447.09213744922,1566.85945356807,1692.102851963
"60",1445.51794154757,1564.97025768559,1690.22148228005
"61",1444.00747672551,1563.10586693747,1688.12441001777
"62",1442.13083969905,1561.16252612695,1685.93413844759
"63",1440.22093687185,1559.21878376296,1683.67965914049
"64",1438.56260127615,1557.22305695096,1681.43163699398
"65",1437.09743180851,1555.34905064202,1679.15138894923
"66",1435.63307455243,1553.41370548339,1677.06292887352
"67",1433.97730409888,1551.61554973928,1674.906049717
"68",1432.26967547381,1549.7724538007,1672.58178929767
"69",1430.47351404291,1547.83987016387,1670.39862842837
"70",1428.81640290582,1545.93159766566,1668.33960423121
"71",1427.17265503981,1544.06183469998,1666.19709156828
"72",1425.48501732211,1542.17100465785,1663.89102788796
"73",1423.81287143497,1540.33449401211,1661.62548322993
"74",1422.14671742138,1538.48078742565,1659.57687685749
"75",1420.47904667039,1536.63121196903,1657.55618990949
"76",1418.82376738804,1534.73836320724,1655.38414466387
"77",1417.17145659307,1532.91226692829,1653.27525034044
"78",1415.52665203657,1531.11780667352,1651.14529771911
"79",1413.87797198243,1529.27622152897,1649.15282073164
"80",1412.31128113091,1527.49222926049,1647.25538482266
"81",1410.77511973462,1525.70051353278,1645.16825107228
"82",1409.23259040403,1523.89048426802,1643.41308802164
"83",1407.69136066857,1522.11671937761,1641.46777333439
"84",1406.07876791188,1520.23304722043,1639.42109026719
"85",1404.43628323869,1518.56481687581,1637.48738613051
"86",1402.69230195893,1516.76269007772,1635.41243646539
"87",1401.14156928747,1515.02684238183,1633.34833779254
"88",1399.6038946115,1513.35334364499,1631.3632532974
"89",1398.09382298607,1511.73522916572,1629.60540422602
"90",1396.59527717353,1510.04399414195,1627.70305797334
"91",1394.91662020049,1508.14885204691,1625.50638827507
