"2.5CI","Median","97.5CI"
"167",92.0941057763502,98.6071880117211,105.170328250157
"168",93.6444966722031,100.26787096198,106.977020649867
"169",95.1742324268413,101.918606110559,108.773599091116
"170",96.6457882596232,103.569047417914,110.555687902464
"171",98.1745150824275,105.218251527744,112.340821447978
"172",99.6996881048493,106.874261573979,114.105942520821
"173",101.240898646613,108.51280481549,115.854266693108
"174",102.769749739743,110.140467453903,117.597932627365
"175",104.313766092144,111.762100370336,119.346287745033
"176",105.80461854821,113.373613369078,121.099432534584
"177",107.317867597082,114.981272057546,122.809374191451
"178",108.808598303623,116.575776697873,124.543270358502
"179",110.30851676447,118.1550770401,126.275272089809
"180",111.780695847937,119.73720728038,127.980109656786
"181",113.234807036181,121.310323226288,129.666676378677
"182",114.691051661847,122.866245956739,131.328661687888
"183",116.138434705949,124.42069504425,133.011380882689
"184",117.547580546704,125.951514105296,134.655613475404
"185",118.961545030587,127.476982295938,136.261986569043
"186",120.385207102764,128.983392275353,137.842034010352
"187",121.819603051148,130.479069287418,139.412753766059
"188",123.202438137015,131.963763350725,140.980834443597
"189",124.566667570946,133.434339252133,142.535735166859
"190",125.941726704992,134.890100720304,144.032130677538
"191",127.301299928069,136.321688984085,145.576512322479
"192",128.649325175324,137.738347461615,147.095302937563
"193",130.00509001245,139.140194220616,148.562693670167
"194",131.333088810388,140.524572128018,149.992836373135
"195",132.627490858719,141.907250018515,151.395048011407
"196",133.911946596404,143.260726691302,152.828877804019
"197",135.198098949568,144.599476494027,154.1893192964
"198",136.443322413837,145.91945708903,155.575871779156
"199",137.703879739829,147.216997628821,156.921276149692
"200",138.959637855431,148.515987537496,158.26631769137
"201",140.180460461714,149.783829778512,159.578178556846
"202",141.38845930344,151.03834527667,160.869663301755
"203",142.557791904515,152.261140899609,162.174248721661
"204",143.710294845868,153.474555940932,163.431116624714
"205",144.868594207875,154.66769017818,164.674070627562
"206",146.017702598575,155.847078100793,165.891667922084
"207",147.13952725101,157.004078545545,167.090083720018
"208",148.218123630756,158.154807633069,168.273559916442
"209",149.290572465153,159.281635023509,169.452166917799
"210",150.361258702169,160.38920848628,170.553258968701
"211",151.415063915119,161.462667418153,171.675721608214
"212",152.447698230199,162.511916337101,172.758667930735
"213",153.455409248779,163.543740510915,173.823815749927
"214",154.453882331183,164.569243721675,174.865333573565
"215",155.434900399641,165.558046654859,175.887504592871
"216",156.39987266552,166.540083902351,176.886774028859
"217",157.365218742809,167.501253660438,177.851252832997
"218",158.262160113168,168.452270235597,178.815327634403
"219",159.140746978742,169.376382677313,179.743744114165
"220",160.041693507614,170.282565753658,180.655281056178
"221",160.908011996303,171.157172333988,181.529731547332
"222",161.735684099996,172.037788192106,182.425674313166
"223",162.610568953458,172.889131729744,183.29056218966
"224",163.457115744485,173.72185718668,184.122647882824
"225",164.281675527713,174.552904836053,184.972885696236
"226",165.136315387249,175.346354303833,185.727963574917
"227",165.925693206047,176.13535100025,186.494105708074
"228",166.68154240811,176.894476986539,187.25224768256
"229",167.387149318364,177.635121044678,187.997012931631
"230",168.075897482892,178.348482442156,188.747565440839
"231",168.783678097358,179.054294094784,189.47229359144
"232",169.447021439974,179.746540541829,190.158725650042
"233",170.072362514203,180.412505980591,190.820632934086
"234",170.737213113195,181.065779131149,191.520939851213
"235",171.392968809084,181.701502185117,192.190988325372
"236",171.9725940079,182.340974841408,192.819251722018
"237",172.539013393671,182.93731726132,193.498858770042
"238",173.091830964909,183.526403667343,194.127135909731
"239",173.640772193651,184.080876014028,194.738846697394
"240",174.204235173641,184.620979408724,195.334298492915
"241",174.73420950553,185.161433369487,195.942989682228
"242",175.213373773604,185.685343523619,196.495537718738
"243",175.68367033572,186.203621169339,197.018409436092
"244",176.138985877148,186.707029682646,197.526722350938
"245",176.64642731338,187.190483861741,198.001170777698
"246",177.074766237494,187.654587778522,198.470217746602
"247",177.459352978064,188.093280151483,198.941406165943
"248",177.898386281392,188.510917707466,199.418440141272
"249",178.306090792436,188.926396469169,199.911003011629
"250",178.690954723516,189.335054324275,200.357711119398
"251",179.051338765516,189.719842259712,200.771611409493
"252",179.350498033877,190.102082885896,201.155360275304
"253",179.679013651613,190.464543500778,201.565362252262
"254",179.97546056618,190.816489403298,201.984026690164
"255",180.288156092472,191.127003322312,202.377753591383
"256",180.587577932953,191.466482366234,202.763447185231
"257",180.891488988872,191.772681625594,203.158528846613
"258",181.10011473145,192.075777448884,203.441613272633
"259",181.297092869075,192.357138563554,203.803500352664
"260",181.469970798424,192.638939137373,204.060669241386
"261",181.732837943597,192.897067883947,204.358973816884
"262",181.885246400405,193.159709577554,204.633368616066
"263",182.051582426214,193.386844958369,204.932142553644
"264",182.215864008871,193.606070291426,205.211569343832
"265",182.35928390487,193.821132871683,205.485545747118
"266",182.499633041183,194.019779279231,205.76570198329
"267",182.643590842939,194.209817689613,205.964244859066
"268",182.749470838219,194.396045233851,206.19203368042
"269",182.854464771803,194.549960311794,206.441010884554
"270",182.94918733238,194.709494078732,206.623452139975
"271",183.205944785109,195.007165778725,206.989217881323
"272",183.678792765888,195.485086220953,207.550038729272
"273",184.272882853048,196.099681849263,208.212663811045
"274",184.923693039017,196.79410681132,208.937078652538
"275",185.689228364955,197.577515473797,209.73205549433
"276",186.563278388911,198.457594639832,210.615576131625
"277",187.483384610137,199.399728611034,211.541143091932
"278",188.41131746287,200.403969069822,212.584602025619
"279",189.427807787598,201.452505857749,213.705890152145
"280",190.47847995098,202.561715297749,214.930159795154
"281",191.639441912822,203.719532450316,216.203788393138
"282",192.882711059228,204.938567058651,217.468522245616
"283",194.204607736127,206.231901583917,218.790352267706
"284",195.476909731316,207.579881982905,220.323156471651
"285",196.90604335184,208.980453157865,221.755694632992
"286",198.312139269159,210.434662255849,223.254191433589
"287",199.815373199743,211.992489149039,224.885288676118
"288",201.318117786989,213.577212089065,226.645746417944
"289",202.877714260278,215.233051723683,228.534690334996
"290",204.511696146421,216.929081159782,230.425586074473
"291",206.285499249904,218.703817341543,232.35729153408
"292",208.067575026719,220.598757880724,234.263927938895
"293",209.891589116774,222.526829514497,236.376906260735
"294",211.848862530423,224.510955532384,238.564412176046
"295",213.828867774579,226.57278407556,240.788427191251
"296",215.902816049041,228.745346060287,243.101566864561
"297",218.049336861763,230.978856589277,245.481596201236
"298",220.311003142132,233.278728607006,247.93782352966
"299",222.572538752844,235.666790756614,250.430770009394
"300",224.892491203881,238.128633729051,253.093477654503
"301",227.22530362348,240.649798803872,255.779512873467
"302",229.71093098496,243.220912694077,258.504109869979
"303",232.222489368526,245.849874245713,261.314427734398
