time,IPTGpre,aTcpre,IPTG,aTc
473,0.25,20,0.5,0
474,0.25,20,0.5,0
475,0.25,20,0.5,0
476,0.25,20,0.5,0
477,0.25,20,0.5,0
478,0.25,20,0.5,0
479,0.25,20,0.5,0
480,0.25,20,0.5,0
481,0.25,20,0.5,0
482,0.25,20,0.5,0
483,0.25,20,0.5,0
484,0.25,20,0.5,0
485,0.25,20,0.5,0
486,0.25,20,0.5,0
487,0.25,20,0.5,0
488,0.25,20,0.5,0
489,0.25,20,0.5,0
490,0.25,20,0.5,0
491,0.25,20,0.5,0
492,0.25,20,0.5,0
493,0.25,20,0.5,0
494,0.25,20,0.5,0
495,0.25,20,0.5,0
496,0.25,20,0.5,0
497,0.25,20,0.5,0
498,0.25,20,0.5,0
499,0.25,20,0.5,0
500,0.25,20,0.5,0
501,0.25,20,0.5,0
502,0.25,20,0.5,0
503,0.25,20,0.5,0
504,0.25,20,0.5,0
505,0.25,20,0.5,0
506,0.25,20,0.5,0
507,0.25,20,0.5,0
508,0.25,20,0.5,0
509,0.25,20,0,50
510,0.25,20,0,50
511,0.25,20,0,50
512,0.25,20,0,50
513,0.25,20,0,50
514,0.25,20,0,50
515,0.25,20,0,50
516,0.25,20,0,50
517,0.25,20,0,50
518,0.25,20,0,50
519,0.25,20,0,50
520,0.25,20,0,50
521,0.25,20,0,50
522,0.25,20,0,50
523,0.25,20,0,50
524,0.25,20,0.5,0
525,0.25,20,0.5,0
526,0.25,20,0.5,0
527,0.25,20,0.5,0
528,0.25,20,0.5,0
529,0.25,20,0.5,0
530,0.25,20,0.5,0
531,0.25,20,0.5,0
532,0.25,20,0.5,0
533,0.25,20,0.5,0
534,0.25,20,0.5,0
535,0.25,20,0.5,0
536,0.25,20,0.5,0
537,0.25,20,0.5,0
538,0.25,20,0.5,0
539,0.25,20,0.5,0
540,0.25,20,0.5,0
541,0.25,20,0.5,0
542,0.25,20,0.5,0
543,0.25,20,0.5,0
544,0.25,20,0.5,0
545,0.25,20,0.5,0
546,0.25,20,0.5,0
547,0.25,20,0.5,0
548,0.25,20,0.5,0
549,0.25,20,0.5,0
550,0.25,20,0.5,0
551,0.25,20,0.5,0
552,0.25,20,0.5,0
553,0.25,20,0.5,0
554,0.25,20,0.5,0
555,0.25,20,0.5,0
556,0.25,20,0.5,0
557,0.25,20,0.5,0
558,0.25,20,0.5,0
559,0.25,20,0.5,0
560,0.25,20,0.5,0
561,0.25,20,0.5,0
562,0.25,20,0.5,0
563,0.25,20,0.5,0
564,0.25,20,0.5,0
565,0.25,20,0.5,0
566,0.25,20,0.5,0
567,0.25,20,0.5,0
568,0.25,20,0.5,0
569,0.25,20,0.5,0
570,0.25,20,0.5,0
571,0.25,20,0.5,0
572,0.25,20,0.5,0
573,0.25,20,0.5,0
574,0.25,20,0.5,0
575,0.25,20,0.5,0
576,0.25,20,0.5,0
577,0.25,20,0.5,0
578,0.25,20,0.5,0
579,0.25,20,0.5,0
580,0.25,20,0.5,0
581,0.25,20,0.5,0
582,0.25,20,0.5,0
583,0.25,20,0.5,0
584,0.25,20,0.5,0
585,0.25,20,0.5,0
586,0.25,20,0.5,0
587,0.25,20,0.5,0
588,0.25,20,0.5,0
589,0.25,20,0.5,0
590,0.25,20,0.5,0
591,0.25,20,0.5,0
592,0.25,20,0.5,0
593,0.25,20,0.5,0
594,0.25,20,0.5,0
595,0.25,20,0.5,0
596,0.25,20,0.5,0
597,0.25,20,0.5,0
598,0.25,20,0.5,0
599,0.25,20,0,50
600,0.25,20,0,50
601,0.25,20,0,50
602,0.25,20,0,50
603,0.25,20,0,50
604,0.25,20,0,50
605,0.25,20,0,50
606,0.25,20,0,50
607,0.25,20,0,50
608,0.25,20,0,50
609,0.25,20,0,50
