time,IPTGpre,aTcpre,IPTG,aTc
422,1,0,0.5,0
423,1,0,0.5,0
424,1,0,0.5,0
425,1,0,0.5,0
426,1,0,0.5,0
427,1,0,0.5,0
428,1,0,0.5,0
429,1,0,0.5,0
430,1,0,0.5,0
431,1,0,0.5,0
432,1,0,0.5,0
433,1,0,0.5,0
434,1,0,0.5,0
435,1,0,0.5,0
436,1,0,0.5,0
437,1,0,0.5,0
438,1,0,0.5,0
439,1,0,0.5,0
440,1,0,0.5,0
441,1,0,0.5,0
442,1,0,0.5,0
443,1,0,0.5,0
444,1,0,0.5,0
445,1,0,0.5,0
446,1,0,0.5,0
447,1,0,0.5,0
448,1,0,0.5,0
449,1,0,0.5,0
450,1,0,0.5,0
451,1,0,0.5,0
452,1,0,0.5,0
453,1,0,0.5,0
454,1,0,0.5,0
455,1,0,0.5,0
456,1,0,0.5,0
457,1,0,0.5,0
458,1,0,0.5,0
459,1,0,0.5,0
460,1,0,0.5,0
461,1,0,0.5,0
462,1,0,0.5,0
463,1,0,0.5,0
464,1,0,0.5,0
465,1,0,0.5,0
466,1,0,0.5,0
467,1,0,0.5,0
468,1,0,0.5,0
469,1,0,0.5,0
470,1,0,0.5,0
471,1,0,0.5,0
472,1,0,0.5,0
473,1,0,0.5,0
474,1,0,0.5,12
475,1,0,0.5,12
476,1,0,0.5,12
477,1,0,0.5,12
478,1,0,0.5,12
479,1,0,0.5,0
480,1,0,0.5,0
481,1,0,0.5,0
482,1,0,0.5,0
483,1,0,0.5,0
484,1,0,0.5,7
485,1,0,0.5,7
486,1,0,0.5,7
487,1,0,0.5,7
488,1,0,0.5,7
489,1,0,0.5,17
490,1,0,0.5,17
491,1,0,0.5,17
492,1,0,0.5,17
493,1,0,0.5,17
494,1,0,0.5,18
495,1,0,0.5,18
496,1,0,0.5,18
497,1,0,0.5,18
498,1,0,0.5,18
499,1,0,0.5,11
500,1,0,0.5,11
501,1,0,0.5,11
502,1,0,0.5,11
503,1,0,0.5,11
504,1,0,0.5,25
505,1,0,0.5,25
506,1,0,0.5,25
507,1,0,0.5,25
508,1,0,0.5,25
509,1,0,0.5,23
510,1,0,0.5,23
511,1,0,0.5,23
512,1,0,0.5,23
513,1,0,0.5,23
514,1,0,0.5,22
515,1,0,0.5,22
516,1,0,0.5,22
517,1,0,0.5,22
518,1,0,0.5,22
519,1,0,0.48,26
520,1,0,0.48,26
521,1,0,0.48,26
522,1,0,0.48,26
523,1,0,0.48,26
524,1,0,0.47,23
525,1,0,0.47,23
526,1,0,0.47,23
527,1,0,0.47,23
528,1,0,0.47,23
529,1,0,0.48,27
530,1,0,0.48,27
531,1,0,0.48,27
532,1,0,0.48,27
533,1,0,0.48,27
534,1,0,0.44,35
535,1,0,0.44,35
536,1,0,0.44,35
537,1,0,0.44,35
538,1,0,0.44,35
539,1,0,0.42,31
540,1,0,0.42,31
541,1,0,0.42,31
542,1,0,0.42,31
543,1,0,0.42,31
544,1,0,0.45,35
545,1,0,0.45,35
546,1,0,0.45,35
547,1,0,0.45,35
548,1,0,0.45,35
549,1,0,0.42,35
550,1,0,0.42,35
