Switchingtimes,FinalTime,IPTGpre,aTcpre,IPTG,aTc
465.033333333333,960.033333333333,1,0,0.24,13
470.05,960.033333333333,1,0,0.24,8
475.05,960.033333333333,1,0,0.25,3
480.05,960.033333333333,1,0,0.28,2
485.05,960.033333333333,1,0,0.27,2
490.05,960.033333333333,1,0,0.26,8
495.05,960.033333333333,1,0,0.26,0
500.033333333333,960.033333333333,1,0,0.28,0
505.05,960.033333333333,1,0,0.27,3
510.033333333333,960.033333333333,1,0,0.26,7
515.05,960.033333333333,1,0,0.27,1
520.05,960.033333333333,1,0,0.27,1
525.05,960.033333333333,1,0,0.27,2
530.05,960.033333333333,1,0,0.27,4
535.033333333333,960.033333333333,1,0,0.26,11
540.05,960.033333333333,1,0,0.28,15
545.05,960.033333333333,1,0,0.29,16
550.05,960.033333333333,1,0,0.28,18
555.05,960.033333333333,1,0,0.28,18
560.05,960.033333333333,1,0,0.28,22
565.033333333333,960.033333333333,1,0,0.27,19
570.033333333333,960.033333333333,1,0,0.24,18
575.033333333333,960.033333333333,1,0,0.27,21
580.05,960.033333333333,1,0,0.25,23
585.033333333333,960.033333333333,1,0,0.26,27
590.05,960.033333333333,1,0,0.27,25
595.05,960.033333333333,1,0,0.26,25
600.033333333333,960.033333333333,1,0,0.27,22
605.05,960.033333333333,1,0,0.27,19
610.033333333333,960.033333333333,1,0,0.26,17
615.05,960.033333333333,1,0,0.25,15
620.05,960.033333333333,1,0,0.26,8
625.033333333333,960.033333333333,1,0,0.26,10
630.033333333333,960.033333333333,1,0,0.28,6
635.05,960.033333333333,1,0,0.27,0
640.05,960.033333333333,1,0,0.25,0
645.033333333333,960.033333333333,1,0,0.26,0
650.05,960.033333333333,1,0,0.28,0
655.05,960.033333333333,1,0,0.26,0
660.05,960.033333333333,1,0,0.28,0
665.033333333333,960.033333333333,1,0,0.29,0
670.033333333333,960.033333333333,1,0,0.28,0
675.05,960.033333333333,1,0,0.3,0
680.033333333333,960.033333333333,1,0,0.3,0
685.05,960.033333333333,1,0,0.31,0
690.05,960.033333333333,1,0,0.33,0
695.033333333333,960.033333333333,1,0,0.32,0
